date,line,shift,planned_min,downtime_min,ideal_units_per_min,total_units,good_units,scrap_units,downtime_reason
2026-04-01,Line A,A,480,30,1.6,657,603,54,Quality Hold
2026-04-01,Line A,B,480,10,1.6,645,637,8,Machine Failure
2026-04-01,Line A,C,480,90,1.6,692,687,5,Changeover
2026-04-01,Line B,A,480,60,1.6,664,653,11,Changeover
2026-04-01,Line B,B,480,10,1.6,496,476,20,Planned Maintenance
2026-04-01,Line B,C,480,20,1.6,475,444,31,Quality Hold
2026-04-01,Line C,A,480,30,1.6,597,538,59,Planned Maintenance
2026-04-01,Line C,B,480,30,1.6,666,643,23,No Downtime
2026-04-01,Line C,C,480,10,1.6,675,662,13,No Downtime
2026-04-01,Line D,A,480,0,1.6,605,576,29,Material Shortage
2026-04-01,Line D,B,480,20,1.6,738,708,30,Planned Maintenance
2026-04-01,Line D,C,480,30,1.6,718,689,29,Quality Hold
2026-04-02,Line A,A,480,20,1.6,508,490,18,No Downtime
2026-04-02,Line A,B,480,10,1.6,412,354,58,Planned Maintenance
2026-04-02,Line A,C,480,10,1.6,641,616,25,Changeover
2026-04-02,Line B,A,480,60,1.6,392,351,41,Material Shortage
2026-04-02,Line B,B,480,10,1.6,760,707,53,Machine Failure
2026-04-02,Line B,C,480,60,1.6,581,538,43,Quality Hold
2026-04-02,Line C,A,480,45,1.6,535,525,10,Machine Failure
2026-04-02,Line C,B,480,20,1.6,588,550,38,No Downtime
2026-04-02,Line C,C,480,20,1.6,625,588,37,Material Shortage
2026-04-02,Line D,A,480,20,1.6,408,371,37,Machine Failure
2026-04-02,Line D,B,480,0,1.6,540,491,49,Changeover
2026-04-02,Line D,C,480,120,1.6,516,490,26,Quality Hold
2026-04-03,Line A,A,480,30,1.6,554,514,40,Quality Hold
2026-04-03,Line A,B,480,0,1.6,635,600,35,Changeover
2026-04-03,Line A,C,480,10,1.6,396,369,27,Planned Maintenance
2026-04-03,Line B,A,480,120,1.6,442,385,57,Machine Failure
2026-04-03,Line B,B,480,45,1.6,376,355,21,Changeover
2026-04-03,Line B,C,480,30,1.6,707,673,34,Material Shortage
2026-04-03,Line C,A,480,60,1.6,584,528,56,Quality Hold
2026-04-03,Line C,B,480,30,1.6,704,684,20,Material Shortage
2026-04-03,Line C,C,480,10,1.6,683,627,56,Machine Failure
2026-04-03,Line D,A,480,10,1.6,579,554,25,No Downtime
2026-04-03,Line D,B,480,30,1.6,601,565,36,Material Shortage
2026-04-03,Line D,C,480,20,1.6,505,489,16,Machine Failure
2026-04-04,Line A,A,480,0,1.6,761,708,53,Quality Hold
2026-04-04,Line A,B,480,30,1.6,554,523,31,Machine Failure
2026-04-04,Line A,C,480,45,1.6,376,370,6,Planned Maintenance
2026-04-04,Line B,A,480,0,1.6,541,487,54,Material Shortage
2026-04-04,Line B,B,480,120,1.6,431,390,41,Planned Maintenance
2026-04-04,Line B,C,480,30,1.6,536,508,28,No Downtime
2026-04-04,Line C,A,480,20,1.6,408,371,37,Machine Failure
2026-04-04,Line C,B,480,20,1.6,656,602,54,Quality Hold
2026-04-04,Line C,C,480,45,1.6,696,641,55,No Downtime
2026-04-04,Line D,A,480,90,1.6,426,405,21,Material Shortage
2026-04-04,Line D,B,480,45,1.6,673,624,49,Quality Hold
2026-04-04,Line D,C,480,20,1.6,451,400,51,Planned Maintenance
2026-04-05,Line A,A,480,0,1.6,709,670,39,Changeover
2026-04-05,Line A,B,480,20,1.6,652,643,9,Planned Maintenance
2026-04-05,Line A,C,480,10,1.6,436,421,15,No Downtime
2026-04-05,Line B,A,480,0,1.6,510,484,26,Changeover
2026-04-05,Line B,B,480,90,1.6,706,670,36,No Downtime
2026-04-05,Line B,C,480,10,1.6,484,475,9,No Downtime
2026-04-05,Line C,A,480,20,1.6,482,424,58,Material Shortage
2026-04-05,Line C,B,480,30,1.6,594,540,54,No Downtime
2026-04-05,Line C,C,480,45,1.6,599,563,36,Planned Maintenance
2026-04-05,Line D,A,480,90,1.6,532,507,25,Changeover
2026-04-05,Line D,B,480,90,1.6,393,385,8,Machine Failure
2026-04-05,Line D,C,480,20,1.6,543,509,34,No Downtime
2026-04-06,Line A,A,480,10,1.6,689,640,49,Planned Maintenance
2026-04-06,Line A,B,480,45,1.6,612,600,12,Quality Hold
2026-04-06,Line A,C,480,120,1.6,483,460,23,Quality Hold
2026-04-06,Line B,A,480,10,1.6,511,497,14,Material Shortage
2026-04-06,Line B,B,480,10,1.6,515,460,55,Planned Maintenance
2026-04-06,Line B,C,480,0,1.6,706,660,46,Quality Hold
2026-04-06,Line C,A,480,20,1.6,451,414,37,Changeover
2026-04-06,Line C,B,480,10,1.6,604,593,11,No Downtime
2026-04-06,Line C,C,480,20,1.6,475,436,39,Changeover
2026-04-06,Line D,A,480,10,1.6,630,585,45,Material Shortage
2026-04-06,Line D,B,480,20,1.6,398,351,47,Planned Maintenance
2026-04-06,Line D,C,480,45,1.6,702,651,51,Material Shortage
2026-04-07,Line A,A,480,90,1.6,655,606,49,Planned Maintenance
2026-04-07,Line A,B,480,30,1.6,723,674,49,No Downtime
2026-04-07,Line A,C,480,0,1.6,418,412,6,Changeover
2026-04-07,Line B,A,480,10,1.6,400,357,43,Machine Failure
2026-04-07,Line B,B,480,10,1.6,745,709,36,Machine Failure
2026-04-07,Line B,C,480,30,1.6,374,364,10,Material Shortage
2026-04-07,Line C,A,480,45,1.6,388,382,6,Changeover
2026-04-07,Line C,B,480,90,1.6,516,464,52,Quality Hold
2026-04-07,Line C,C,480,60,1.6,552,511,41,Machine Failure
2026-04-07,Line D,A,480,10,1.6,621,575,46,Quality Hold
2026-04-07,Line D,B,480,0,1.6,486,437,49,Changeover
2026-04-07,Line D,C,480,60,1.6,710,705,5,Material Shortage
2026-04-08,Line A,A,480,10,1.6,683,661,22,Material Shortage
2026-04-08,Line A,B,480,30,1.6,402,391,11,Planned Maintenance
2026-04-08,Line A,C,480,10,1.6,647,595,52,Changeover
2026-04-08,Line B,A,480,0,1.6,694,644,50,Planned Maintenance
2026-04-08,Line B,B,480,90,1.6,549,534,15,Quality Hold
2026-04-08,Line B,C,480,30,1.6,581,562,19,Quality Hold
2026-04-08,Line C,A,480,0,1.6,558,517,41,Material Shortage
2026-04-08,Line C,B,480,60,1.6,625,583,42,Planned Maintenance
2026-04-08,Line C,C,480,10,1.6,424,380,44,Machine Failure
2026-04-08,Line D,A,480,90,1.6,682,670,12,Material Shortage
2026-04-08,Line D,B,480,0,1.6,571,531,40,Quality Hold
2026-04-08,Line D,C,480,30,1.6,468,429,39,No Downtime
2026-04-09,Line A,A,480,20,1.6,427,409,18,No Downtime
2026-04-09,Line A,B,480,30,1.6,555,518,37,Material Shortage
2026-04-09,Line A,C,480,20,1.6,674,662,12,Machine Failure
2026-04-09,Line B,A,480,60,1.6,628,595,33,Changeover
2026-04-09,Line B,B,480,20,1.6,629,595,34,Machine Failure
2026-04-09,Line B,C,480,10,1.6,445,429,16,Machine Failure
2026-04-09,Line C,A,480,20,1.6,579,570,9,Changeover
2026-04-09,Line C,B,480,30,1.6,681,628,53,Machine Failure
2026-04-09,Line C,C,480,0,1.6,469,423,46,No Downtime
2026-04-09,Line D,A,480,0,1.6,449,398,51,Material Shortage
2026-04-09,Line D,B,480,0,1.6,677,623,54,Planned Maintenance
2026-04-09,Line D,C,480,10,1.6,495,449,46,Planned Maintenance
2026-04-10,Line A,A,480,30,1.6,681,666,15,Material Shortage
2026-04-10,Line A,B,480,90,1.6,562,510,52,Changeover
2026-04-10,Line A,C,480,45,1.6,527,517,10,Quality Hold
2026-04-10,Line B,A,480,45,1.6,653,619,34,Planned Maintenance
2026-04-10,Line B,B,480,45,1.6,498,473,25,Planned Maintenance
2026-04-10,Line B,C,480,20,1.6,429,373,56,Planned Maintenance
2026-04-10,Line C,A,480,10,1.6,472,453,19,Planned Maintenance
2026-04-10,Line C,B,480,45,1.6,588,548,40,No Downtime
2026-04-10,Line C,C,480,0,1.6,693,678,15,Material Shortage
2026-04-10,Line D,A,480,30,1.6,657,645,12,Planned Maintenance
2026-04-10,Line D,B,480,120,1.6,641,585,56,Planned Maintenance
2026-04-10,Line D,C,480,45,1.6,699,661,38,Changeover
2026-04-11,Line A,A,480,30,1.6,438,423,15,No Downtime
2026-04-11,Line A,B,480,45,1.6,653,631,22,Planned Maintenance
2026-04-11,Line A,C,480,20,1.6,429,404,25,Changeover
2026-04-11,Line B,A,480,0,1.6,528,505,23,No Downtime
2026-04-11,Line B,B,480,30,1.6,414,388,26,No Downtime
2026-04-11,Line B,C,480,45,1.6,599,552,47,Changeover
2026-04-11,Line C,A,480,60,1.6,498,443,55,Changeover
2026-04-11,Line C,B,480,0,1.6,499,493,6,Planned Maintenance
2026-04-11,Line C,C,480,120,1.6,410,397,13,Changeover
2026-04-11,Line D,A,480,60,1.6,638,613,25,No Downtime
2026-04-11,Line D,B,480,0,1.6,520,510,10,Planned Maintenance
2026-04-11,Line D,C,480,0,1.6,729,715,14,Machine Failure
2026-04-12,Line A,A,480,30,1.6,730,701,29,No Downtime
2026-04-12,Line A,B,480,10,1.6,656,627,29,No Downtime
2026-04-12,Line A,C,480,10,1.6,709,662,47,Material Shortage
2026-04-12,Line B,A,480,20,1.6,388,375,13,Material Shortage
2026-04-12,Line B,B,480,10,1.6,516,494,22,Changeover
2026-04-12,Line B,C,480,20,1.6,661,616,45,Material Shortage
2026-04-12,Line C,A,480,120,1.6,510,457,53,Machine Failure
2026-04-12,Line C,B,480,10,1.6,697,689,8,Changeover
2026-04-12,Line C,C,480,10,1.6,551,540,11,Changeover
2026-04-12,Line D,A,480,20,1.6,413,362,51,Material Shortage
2026-04-12,Line D,B,480,0,1.6,612,560,52,Quality Hold
2026-04-12,Line D,C,480,10,1.6,543,529,14,Planned Maintenance
2026-04-13,Line A,A,480,10,1.6,479,446,33,Planned Maintenance
2026-04-13,Line A,B,480,20,1.6,497,454,43,Quality Hold
2026-04-13,Line A,C,480,30,1.6,744,718,26,No Downtime
2026-04-13,Line B,A,480,90,1.6,668,642,26,Machine Failure
2026-04-13,Line B,B,480,0,1.6,486,475,11,Quality Hold
2026-04-13,Line B,C,480,90,1.6,730,712,18,Machine Failure
2026-04-13,Line C,A,480,120,1.6,671,655,16,Planned Maintenance
2026-04-13,Line C,B,480,20,1.6,572,537,35,No Downtime
2026-04-13,Line C,C,480,0,1.6,654,632,22,Changeover
2026-04-13,Line D,A,480,0,1.6,604,571,33,Machine Failure
2026-04-13,Line D,B,480,20,1.6,719,666,53,Material Shortage
2026-04-13,Line D,C,480,60,1.6,690,631,59,Planned Maintenance
2026-04-14,Line A,A,480,45,1.6,510,459,51,Planned Maintenance
2026-04-14,Line A,B,480,45,1.6,625,602,23,Machine Failure
2026-04-14,Line A,C,480,0,1.6,426,380,46,Planned Maintenance
2026-04-14,Line B,A,480,90,1.6,462,411,51,Quality Hold
2026-04-14,Line B,B,480,10,1.6,718,662,56,Quality Hold
2026-04-14,Line B,C,480,20,1.6,427,407,20,Material Shortage
2026-04-14,Line C,A,480,120,1.6,527,491,36,Changeover
2026-04-14,Line C,B,480,10,1.6,684,647,37,Planned Maintenance
2026-04-14,Line C,C,480,45,1.6,686,646,40,Planned Maintenance
2026-04-14,Line D,A,480,20,1.6,718,701,17,Changeover
2026-04-14,Line D,B,480,45,1.6,487,437,50,Planned Maintenance
2026-04-14,Line D,C,480,30,1.6,500,473,27,Machine Failure
2026-04-15,Line A,A,480,30,1.6,593,546,47,Material Shortage
2026-04-15,Line A,B,480,45,1.6,422,374,48,Material Shortage
2026-04-15,Line A,C,480,120,1.6,662,632,30,Changeover
